[2026-08-13T08:44:06.960Z] GET http://localhost:3000/ → 307 (15ms, ?B)
[2026-08-13T08:45:20.799Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/sessionTasks_ui_e21f27_1.30.1.js → 200 (?ms, -953B)
[2026-08-13T08:49:16.700Z] GET http://localhost:3000/w/my-organization-1786203378813101008 → pending (?ms, ?B)
[2026-08-13T08:49:16.708Z] GET https://first-husky-42.accounts.dev/sign-in?redirect_url=http%3A%2F%2Flocalhost%3A3000%2Fw%2Fmy-organization-1786203378813101008&__clerk_db_jwt=dvb_3Hqzzk7HOrQb07XAULZkj1sStle → 200 (495ms, 8099B)
[2026-08-13T08:49:17.208Z] POST https://o449981.ingest.us.sentry.io/api/4508852298842113/envelope/?sentry_version=7&sentry_key=23caec1f1636630cc3df8a753b1979eb&sentry_client=sentry.javascript.tanstackstart-react%2F10.55.0 → pending (?ms, ?B)
[2026-08-13T08:49:17.210Z] GET https://fonts.googleapis.com/css2?family=Source+Sans+Pro:wght@400;600&display=swap → 200 (1ms, -743B)
[2026-08-13T08:49:17.212Z] GET https://first-husky-42.accounts.dev/assets/index-ThexdIYe.js → 200 (?ms, -2285B)
[2026-08-13T08:49:17.226Z] POST https://o449981.ingest.us.sentry.io/api/4508852298842113/envelope/?sentry_version=7&sentry_key=23caec1f1636630cc3df8a753b1979eb&sentry_client=sentry.javascript.tanstackstart-react%2F10.55.0 → 200 (58ms, 56B)
[2026-08-13T08:49:17.226Z] GET https://first-husky-42.accounts.dev/assets/use-has-hydrated-CndlaM2v.css → 200 (?ms, -2293B)
[2026-08-13T08:49:17.226Z] GET https://first-husky-42.accounts.dev/assets/sign-in_._-Ctd55dXj.js → 200 (1ms, -2290B)
[2026-08-13T08:49:17.227Z] GET https://first-husky-42.accounts.dev/assets/clerk-compat-DBmOf38R.js → 200 (?ms, -2290B)
[2026-08-13T08:49:17.227Z] GET https://first-husky-42.accounts.dev/assets/use-has-hydrated-D1ZPaUxq.js → 200 (?ms, -2296B)
[2026-08-13T08:49:17.227Z] GET https://first-husky-42.accounts.dev/assets/use-hosted-native-auth-entry-B0o8Rl7t.js → 200 (?ms, -2310B)
[2026-08-13T08:49:17.232Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/clerk-js@6/dist/clerk.browser.js → 307 (154ms, ?B)
[2026-08-13T08:49:17.239Z] GET https://first-husky-42.accounts.dev/assets/pkg-CZteM3iL.js → 200 (?ms, -2280B)
[2026-08-13T08:49:17.239Z] GET https://first-husky-42.accounts.dev/assets/tslib.es6-oufmIyRV.js → 200 (?ms, -2295B)
[2026-08-13T08:49:17.240Z] GET https://first-husky-42.accounts.dev/assets/middleware-BGOwCGce.js → 200 (?ms, -2290B)
[2026-08-13T08:49:17.240Z] GET https://first-husky-42.accounts.dev/assets/helpers-CrpDwc0d.js → 200 (?ms, -2285B)
[2026-08-13T08:49:17.240Z] GET https://first-husky-42.accounts.dev/assets/callback-D7xsLOEK.js → 200 (?ms, -2298B)
[2026-08-13T08:49:17.241Z] GET https://first-husky-42.accounts.dev/assets/metric-helpers-Dg-U37U8.js → 200 (?ms, -2292B)
[2026-08-13T08:49:17.241Z] GET https://first-husky-42.accounts.dev/assets/gracefulDecodeURIComponent-B-EHCWXe.js → 200 (?ms, -2308B)
[2026-08-13T08:49:17.241Z] GET https://first-husky-42.accounts.dev/assets/load-script-MP4jUGaM.js → 200 (?ms, -2285B)
[2026-08-13T08:49:17.241Z] GET https://scdn.clerk.com/v1/projects/GHC5j9EImlsFgFvR5x9jlj4XissduHpH/settings → 200 (1ms, -761B)
[2026-08-13T08:49:17.245Z] POST https://segapi.clerk.com/v1/p → pending (?ms, ?B)
[2026-08-13T08:49:17.386Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/clerk-js@6.28.1/dist/clerk.browser.js → 200 (4ms, -911B)
[2026-08-13T08:49:17.434Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1/dist/ui.browser.js → 307 (78ms, ?B)
[2026-08-13T08:49:17.512Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/ui.browser.js → 200 (2ms, -911B)
[2026-08-13T08:49:17.536Z] GET blob:https://first-husky-42.accounts.dev/a1676969-7d64-4f0e-a840-904cc44db670 → 200 (8ms, -94B)
[2026-08-13T08:49:17.537Z] POST https://o449981.ingest.us.sentry.io/api/4508852298842113/envelope/?sentry_version=7&sentry_key=23caec1f1636630cc3df8a753b1979eb&sentry_client=sentry.javascript.tanstackstart-react%2F10.55.0 → 200 (63ms, 20B)
[2026-08-13T08:49:17.538Z] POST https://o449981.ingest.us.sentry.io/api/4508852298842113/envelope/?sentry_version=7&sentry_key=23caec1f1636630cc3df8a753b1979eb&sentry_client=sentry.javascript.tanstackstart-react%2F10.55.0 → 200 (61ms, 20B)
[2026-08-13T08:49:17.543Z] GET https://first-husky-42.clerk.accounts.dev/v1/environment?__clerk_api_version=2026-05-12&_clerk_js_version=6.28.1&__clerk_db_jwt=dvb_3Hqzzk7HOrQb07XAULZkj1sStle → pending (?ms, ?B)
[2026-08-13T08:49:17.543Z] GET https://first-husky-42.clerk.accounts.dev/v1/client?__clerk_api_version=2026-05-12&_clerk_js_version=6.28.1&__clerk_db_jwt=dvb_3Hqzzk7HOrQb07XAULZkj1sStle → pending (?ms, ?B)
[2026-08-13T08:49:17.888Z] GET blob:https://first-husky-42.accounts.dev/77c17d0b-600e-4108-8f30-7164f4fde83a → 200 (6ms, -94B)
[2026-08-13T08:49:17.889Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/framework_ui_e21f27_1.30.1.js → 200 (?ms, -903B)
[2026-08-13T08:49:17.889Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/ui-common_ui_e21f27_1.30.1.js → 200 (?ms, -912B)
[2026-08-13T08:49:17.891Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/vendors_ui_e21f27_1.30.1.js → 200 (?ms, -907B)
[2026-08-13T08:49:17.891Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/signup_ui_e21f27_1.30.1.js → 200 (?ms, -954B)
[2026-08-13T08:49:17.891Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/8746_ui_e21f27_1.30.1.js → 200 (?ms, -945B)
[2026-08-13T08:49:17.891Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/signin_ui_e21f27_1.30.1.js → 200 (1ms, -959B)
[2026-08-13T08:49:17.903Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/subscriptionDetails_ui_e21f27_1.30.1.js → 200 (?ms, -909B)
[2026-08-13T08:49:17.903Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/4718_ui_e21f27_1.30.1.js → 200 (?ms, -953B)
[2026-08-13T08:49:17.932Z] GET https://img.clerk.com/static/github.svg → 200 (?ms, -877B)
[2026-08-13T08:49:17.932Z] GET https://img.clerk.com/static/google.svg → 200 (?ms, -903B)
[2026-08-13T08:49:17.938Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/taskSetupMFA_ui_e21f27_1.30.1.js → 200 (?ms, -951B)
[2026-08-13T08:49:17.938Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/4424_ui_e21f27_1.30.1.js → 200 (?ms, -945B)
[2026-08-13T08:49:17.939Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/sessionTasks_ui_e21f27_1.30.1.js → 200 (?ms, -953B)
